respId,marketCubeId,zip,age,gender,ethnicity,targetId,targetConstruct,targetIntensity,constructImage,constructImagePosition,foilImage,foilConstruct,foilIntensity,foilImagePosition,userSelection,correct,answerBreakdown,numResponses,percentCorrect,count
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,1,Frustration,1.0,Frustration_1.0,2,Relief_1.0,Relief,1.0,0,2,1,1,16,0.8125,1
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,2,Frustration,0.2,Frustration_0.2,2,Contempt_0.2,Contempt,0.2,0,1,0,2,16,0.8125,2
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,3,Pride,1.0,Pride_1.0,2,Distress_1.0,Distress,1.0,0,2,1,1,16,0.8125,3
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,4,Pride,0.2,Pride_0.2,2,Contempt_0.2,Contempt,0.2,0,1,0,2,16,0.8125,4
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,5,Regret,0.2,Regret_0.2,0,Dislike_0.2,Dislike,0.2,2,0,1,1,16,0.8125,5
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,6,Dislike,0.2,Dislike_0.2,2,Pride_0.2,Pride,0.2,0,2,1,1,16,0.8125,6
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,7,Relief,0.2,Relief_0.2,2,Love_0.2,Love,0.2,0,0,0,0,16,0.8125,7
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,8,Love,0.2,Love_0.2,2,Pride_0.2,Pride,0.2,0,2,1,1,16,0.8125,8
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,9,Contempt,1.0,Contempt_1.0,0,Love_1.0,Love,1.0,2,0,1,1,16,0.8125,9
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,10,Distress,0.2,Distress_0.2,0,Frustration_0.2,Frustration,0.2,2,0,1,1,16,0.8125,10
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,11,Love,1.0,Love_1.0,2,Dislike_1.0,Dislike,1.0,0,2,1,1,16,0.8125,11
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,12,Contempt,0.2,Contempt_0.2,2,Regret_0.2,Regret,0.2,0,2,1,1,16,0.8125,12
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,13,Distress,1.0,Distress_1.0,0,Dislike_1.0,Dislike,1.0,2,0,1,1,16,0.8125,13
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,14,Regret,1.0,Regret_1.0,0,Relief_1.0,Relief,1.0,2,0,1,1,16,0.8125,14
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,15,Dislike,1.0,Dislike_1.0,2,Regret_1.0,Regret,1.0,0,2,1,1,16,0.8125,15
 6,06bdda7f-cda5-4f2a-9ba1-a87d1cf66398,70806,28,2,1,16,Relief,1.0,Relief_1.0,2,Dislike_1.0,Dislike,1.0,0,2,1,1,16,0.8125,16
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,1,Frustration,1.0,Frustration_1.0,0,Regret_1.0,Regret,1.0,2,0,1,1,16,0.5,1
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,2,Contempt,1.0,Contempt_1.0,2,Dislike_1.0,Dislike,1.0,0,1,0,2,16,0.5,2
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,3,Contempt,0.2,Contempt_0.2,0,Relief_0.2,Relief,0.2,2,2,0,0,16,0.5,3
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,4,Relief,0.2,Relief_0.2,2,Dislike_0.2,Dislike,0.2,0,1,0,2,16,0.5,4
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,5,Pride,0.2,Pride_0.2,2,Love_0.2,Love,0.2,0,0,0,0,16,0.5,5
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,6,Relief,1.0,Relief_1.0,0,Regret_1.0,Regret,1.0,2,0,1,1,16,0.5,6
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,7,Regret,0.2,Regret_0.2,2,Dislike_0.2,Dislike,0.2,0,1,0,2,16,0.5,7
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,8,Love,0.2,Love_0.2,2,Regret_0.2,Regret,0.2,0,2,1,1,16,0.5,8
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,9,Regret,1.0,Regret_1.0,2,Distress_1.0,Distress,1.0,0,2,1,1,16,0.5,9
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,10,Dislike,1.0,Dislike_1.0,2,Pride_1.0,Pride,1.0,0,2,1,1,16,0.5,10
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,11,Distress,0.2,Distress_0.2,0,Frustration_0.2,Frustration,0.2,2,1,0,2,16,0.5,11
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,12,Love,1.0,Love_1.0,0,Relief_1.0,Relief,1.0,2,0,1,1,16,0.5,12
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,13,Distress,1.0,Distress_1.0,0,Dislike_1.0,Dislike,1.0,2,0,1,1,16,0.5,13
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,14,Dislike,0.2,Dislike_0.2,0,Pride_0.2,Pride,0.2,2,1,0,2,16,0.5,14
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,15,Frustration,0.2,Frustration_0.2,0,Pride_0.2,Pride,0.2,2,1,0,2,16,0.5,15
 7,fa07e029-0fce-4290-851c-71d7422d3028,75708,23,2,1,16,Pride,1.0,Pride_1.0,0,Love_1.0,Love,1.0,2,0,1,1,16,0.5,16
 8,058d864d-8c6d-4484-9225-0ed675bfdff1,97215,60,2,1,1,Contempt,1.0,Contempt_1.0,0,Relief_1.0,Relief,1.0,2,0,1,1,16,0.6875,1
